codigo_ibg,UF,MUNIC,DMU,Score,Beta,Área_prop,Orient_tecn,Queimada,Agricultura_ organ,Trabalho_infantil,Laço_parentesco,Financiamento,Sabem_ ler,Köppen,Altitude,T_Mean,R_Mean,X,Y
1501253,Pará,      Bannach,168,0.581953,0.7183506,0.98,0.00,1.00,0.00,0.10,0.80,0.66,0.21,Am,420.97,26.10,181.86,-50.6300,-7.4900
1501303,Pará,      Barcarena,169,0.568401,0.7593218,0.83,0.00,1.00,0.01,0.10,0.79,0.92,0.36,Af,13.55,27.94,249.12,-48.6300,-1.5000
1501402,Pará,      Belém,170,0.587567,0.7019345,0.67,0.00,1.00,0.02,0.04,0.91,0.94,0.17,Am,8.21,27.93,250.65,-48.4600,-1.2400
1501451,Pará,      Belterra,171,1,0,0.38,0.00,1.00,0.01,0.04,0.91,0.88,0.16,Am,129.83,27.30,183.96,-54.9900,-3.1900
1501501,Pará,      Benevides,172,1,0,0.99,0.00,1.00,0.03,0.09,0.75,0.85,0.22,Af,24.53,27.86,247.33,-48.2800,-1.3400
1501576,Pará,      Bom Jesus do Tocantins,173,0.587624,0.7017687,0.98,0.00,1.00,0.02,0.02,0.94,0.81,0.29,Aw,155.19,27.43,158.59,-48.7600,-5.0500
1501600,Pará,      Bonito,174,1,0,0.96,0.00,1.00,0.01,0.02,0.94,0.93,0.52,Am,53.59,27.70,228.12,-47.3000,-1.3900
1501709,Pará,      Bragança,175,0.814337,0.2279922,0.91,0.00,0.99,0.00,0.04,0.91,0.96,0.41,Am,39.13,27.73,210.31,-46.7700,-1.2000
1501725,Pará,      Brasil Novo,176,0.55455,0.8032648,0.86,0.00,0.99,0.00,0.03,0.93,0.90,0.22,Am,161.73,27.32,187.21,-52.6900,-3.2900
1501758,Pará,      Brejo Grande do Araguaia,177,1,0,1.00,0.00,1.00,0.07,0.03,0.93,0.86,0.66,Aw,170.68,27.33,151.62,-48.4300,-5.7400
1501782,Pará,      Breu Branco,178,0.761475,0.3132416,0.98,0.00,0.99,0.00,0.02,0.96,0.89,0.36,Am,80.19,27.78,196.70,-49.3700,-3.7300
1501808,Pará,      Breves,179,0.602911,0.6586201,0.79,0.00,1.00,0.00,0.09,0.82,0.99,0.50,Af,18.54,27.85,227.42,-50.6300,-1.1200
1501907,Pará,      Bujaru,180,0.703306,0.4218569,0.83,0.00,0.99,0.00,0.08,0.84,0.92,0.26,Af,30.73,27.86,239.49,-48.0900,-1.6300
1501956,Pará,      Cachoeira do Piriá,181,0.856973,0.166898,0.82,0.00,1.00,0.00,0.01,0.97,0.92,0.55,Am,53.36,27.72,214.98,-46.4400,-1.9900
1502004,Pará,      Cachoeira do Arari,182,1,0,0.91,0.00,1.00,0.01,0.03,0.94,0.98,0.30,Am,5.62,27.90,255.33,-48.8800,-0.8700
1502103,Pará,      Cametá,183,0.703875,0.4207075,0.94,0.00,1.00,0.01,0.11,0.78,0.91,0.26,Af,14.32,28.01,234.93,-49.5100,-2.2500
1502152,Pará,      Canaã dos Carajás,184,0.913388,0.09482477,0.95,0.00,1.00,0.01,0.08,0.82,0.90,0.31,Am,356.43,26.45,184.51,-50.0900,-6.4200
1502202,Pará,      Capanema,185,0.989739,0.01036716,0.98,0.00,1.00,0.00,0.03,0.88,0.79,0.44,Am,33.62,27.76,221.00,-47.1200,-1.1400
1502301,Pará,      Capitão Poço,186,0.884023,0.1311928,0.90,0.00,0.99,0.00,0.06,0.87,0.88,0.51,Am,74.23,27.65,214.96,-47.2300,-2.0400
1502400,Pará,      Castanhal,187,0.747065,0.3385724,0.93,0.00,1.00,0.02,0.02,0.95,0.91,0.30,Am,38.74,27.78,242.22,-47.8800,-1.2700
1502509,Pará,      Chaves,188,1,0,0.92,0.00,1.00,0.00,0.05,0.89,0.99,0.51,Am,7.81,27.76,249.83,-49.8300,-0.0300
1502608,Pará,      Colares,189,0.632572,0.5808465,0.95,0.00,1.00,0.00,0.01,0.97,1.00,0.13,Am,7.28,27.90,251.46,-48.2800,-0.9000
1502707,Pará,      Conceição do Araguaia,190,0.574804,0.7397224,0.90,0.00,1.00,0.01,0.09,0.79,0.80,0.33,Aw,200.42,27.07,163.63,-49.5100,-8.1800
